variable,run,channel,chi2,dof,p_0
nTrackerLayers_1_barrel,355443,mm,56.772725859,6,0.921343886037 +/- 0.0361317641833
nTrackerLayers_1_barrel,355444,mm,5.67412403752,5,0.995135844088 +/- 0.0459351479807
nTrackerLayers_1_barrel,355445,mm,32.3241765992,5,0.947866720562 +/- 0.0417002064798
nTrackerLayers_1_barrel,355558,mm,70.9302943837,7,0.985080697174 +/- 0.0150784276765
nTrackerLayers_1_barrel,355559,mm,67.6798747861,7,0.97350165812 +/- 0.0196463842468
nTrackerLayers_1_barrel,355679,mm,6.45626370076,6,0.986498048889 +/- 0.0483354678428
nTrackerLayers_1_barrel,355680,mm,648.529899549,8,0.962723882081 +/- 0.00743877134491
nTrackerLayers_1_barrel,355768,mm,19.1084745546,6,0.958674308206 +/- 0.0465084701653
nTrackerLayers_1_barrel,355769,mm,114.263688617,8,0.980394013621 +/- 0.0129700172539
nTrackerLayers_2_barrel,355443,mm,19.9427893788,6,0.974089944167 +/- 0.0367631577598
nTrackerLayers_2_barrel,355444,mm,34.4233108279,6,0.935392035209 +/- 0.0440177571496
nTrackerLayers_2_barrel,355445,mm,13.8886009558,6,0.977351299918 +/- 0.0414447759618
nTrackerLayers_2_barrel,355558,mm,62.7653954409,7,0.985684893064 +/- 0.0151675521448
nTrackerLayers_2_barrel,355559,mm,32.0389418421,7,0.987750775781 +/- 0.019696168322
nTrackerLayers_2_barrel,355679,mm,10.5414315501,5,0.980159834354 +/- 0.0499887330109
nTrackerLayers_2_barrel,355680,mm,560.976286585,8,0.967631626185 +/- 0.00747210930146
nTrackerLayers_2_barrel,355768,mm,24.6175107585,6,0.944409360468 +/- 0.0469059342388
nTrackerLayers_2_barrel,355769,mm,149.774167681,7,0.974358998131 +/- 0.0129992831619
nStations_1_barrel,355443,mm,5.38183048608,2,0.993342518024 +/- 0.0375014975983
nStations_1_barrel,355444,mm,2.73866568375,2,0.995190889766 +/- 0.0457946977326
nStations_1_barrel,355445,mm,1.91989176475,2,0.997461613569 +/- 0.0426452563265
nStations_1_barrel,355558,mm,12.5500288711,3,0.997107621832 +/- 0.0151591968639
nStations_1_barrel,355559,mm,13.9279012425,2,0.995436364599 +/- 0.0198727025204
nStations_1_barrel,355679,mm,1.85457688308,2,0.996573488067 +/- 0.0485616334791
nStations_1_barrel,355680,mm,32.4633917272,3,0.998134073357 +/- 0.00757433967609
nStations_1_barrel,355768,mm,1.1772053703,2,0.998308134343 +/- 0.047440540196
nStations_1_barrel,355769,mm,20.3433121003,3,0.996509383648 +/- 0.0130761810395
nStations_2_barrel,355443,mm,2.67014542911,2,0.997288530048 +/- 0.0371840578057
nStations_2_barrel,355444,mm,5.6270708277,2,0.989400652518 +/- 0.0451422217508
nStations_2_barrel,355445,mm,0.702080184558,2,0.999757515794 +/- 0.0419010474056
nStations_2_barrel,355558,mm,6.6795871768,3,0.998441533557 +/- 0.0152628359385
nStations_2_barrel,355559,mm,15.5422162784,3,0.993897834206 +/- 0.0197540614144
nStations_2_barrel,355679,mm,1.94847518855,2,0.996052721034 +/- 0.0502409200011
nStations_2_barrel,355680,mm,25.8799424066,3,0.998506725382 +/- 0.00759038292529
nStations_2_barrel,355768,mm,4.06209681001,3,0.990553263233 +/- 0.0479959606642
nStations_2_barrel,355769,mm,17.8724682442,3,0.996901444479 +/- 0.0131466011365
met_uncorrected,355443,mm,30.3926635131,20,0.976255493354 +/- 0.0286070931311
met_uncorrected,355444,mm,26.3156982784,20,0.968997528201 +/- 0.0343089278461
met_uncorrected,355445,mm,17.1468064521,17,0.984165867797 +/- 0.0321709907416
met_uncorrected,355558,mm,78.3518418905,26,0.989706014103 +/- 0.0115886755671
met_uncorrected,355559,mm,80.8332784182,22,0.981735940732 +/- 0.0152336862886
met_uncorrected,355679,mm,49.0918119638,14,0.938696114937 +/- 0.0379473880243
met_uncorrected,355680,mm,76.149967664,30,0.997779825447 +/- 0.00582067001775
met_uncorrected,355768,mm,47.5675326781,16,0.9389847933 +/- 0.0355555563402
met_uncorrected,355769,mm,568.054601972,22,0.943546216192 +/- 0.0098195829636
metphi_uncorrected,355443,mm,48.8536812456,39,0.959118258372 +/- 0.0283303621797
metphi_uncorrected,355444,mm,63.3219736142,39,0.923152944643 +/- 0.0334713495918
metphi_uncorrected,355445,mm,46.2679301171,39,0.95139923307 +/- 0.0316127971287
metphi_uncorrected,355558,mm,180.955700537,39,0.975446987715 +/- 0.0115045091019
metphi_uncorrected,355559,mm,84.0872164721,39,0.980130619926 +/- 0.0152184054004
metphi_uncorrected,355679,mm,78.6667708075,39,0.880988243862 +/- 0.0365076877043
metphi_uncorrected,355680,mm,367.961111025,39,0.987507685927 +/- 0.00579016218544
metphi_uncorrected,355768,mm,48.0824868757,39,0.93545974916 +/- 0.0354351614927
metphi_uncorrected,355769,mm,151.033237319,39,0.984582152172 +/- 0.0100253972721
pfmet_uncorrected,355443,mm,38.4671704781,22,0.968786392181 +/- 0.0284994766989
pfmet_uncorrected,355444,mm,28.9890803712,21,0.966650297317 +/- 0.0342833175956
pfmet_uncorrected,355445,mm,16.4509081027,19,0.987463383979 +/- 0.0322667873572
pfmet_uncorrected,355558,mm,164.191809119,24,0.978376209838 +/- 0.0115240271656
pfmet_uncorrected,355559,mm,117.49244115,22,0.973225131539 +/- 0.0151687172691
pfmet_uncorrected,355679,mm,80.2119701529,15,0.889235800764 +/- 0.0368984489498
pfmet_uncorrected,355680,mm,591.576294497,32,0.980051003654 +/- 0.00576805802347
pfmet_uncorrected,355768,mm,35.6344112877,21,0.953281892469 +/- 0.035792026243
pfmet_uncorrected,355769,mm,361.83908044,29,0.963277737917 +/- 0.00991481987109
pfmetphi_uncorrected,355443,mm,434.566286461,39,0.635430967734 +/- 0.023088518162
pfmetphi_uncorrected,355444,mm,352.641681212,39,0.57099552164 +/- 0.026356057251
pfmetphi_uncorrected,355445,mm,370.806168594,39,0.610497722066 +/- 0.0253234894874
pfmetphi_uncorrected,355558,mm,2484.43823671,39,0.662852729447 +/- 0.00948427736264
pfmetphi_uncorrected,355559,mm,1456.79529621,39,0.655685347149 +/- 0.0124487637924
pfmetphi_uncorrected,355679,mm,160.466256964,39,0.757237130161 +/- 0.0338466133869
pfmetphi_uncorrected,355680,mm,7635.97927557,39,0.740652132066 +/- 0.0050155216473
pfmetphi_uncorrected,355768,mm,340.120354351,39,0.542848986088 +/- 0.0270117702861
pfmetphi_uncorrected,355769,mm,3340.63011957,39,0.658945368089 +/- 0.00820205136313
pt_1,355443,ee,23.9851403118,14,0.903382492621 +/- 0.0667772443182
pt_1,355444,ee,27.6065171454,11,0.691052050787 +/- 0.0936995113868
pt_1,355445,ee,28.9385061478,14,0.852287753807 +/- 0.0717599304151
pt_1,355558,ee,152.669821845,27,0.865193354011 +/- 0.02818458373
pt_1,355559,ee,83.524321394,22,0.877739639135 +/- 0.0373768355589
pt_1,355679,ee,17.7436472081,13,0.946858058863 +/- 0.0657704713374
pt_1,355680,ee,186.260874537,38,0.977466037896 +/- 0.0110017125074
pt_1,355768,ee,18.753002484,13,0.949880714693 +/- 0.0632906513223
pt_1,355769,ee,90.5120953839,30,0.967006632363 +/- 0.0198950326366
eta_1,355443,ee,42.4956086682,39,0.794707204501 +/- 0.0619609977255
eta_1,355444,ee,19.6289864838,34,0.834005015009 +/- 0.105603244508
eta_1,355445,ee,40.3551704585,36,0.797610582981 +/- 0.0700508335143
eta_1,355558,ee,100.985701684,39,0.907859761237 +/- 0.0287808825127
eta_1,355559,ee,50.8740450577,39,0.91988339361 +/- 0.0380609414693
eta_1,355679,ee,36.5908497251,39,0.837374001222 +/- 0.061005427854
eta_1,355680,ee,57.6402132854,39,0.99287336631 +/- 0.0110796581052
eta_1,355768,ee,44.2979298782,39,0.818451107057 +/- 0.0579163864187
eta_1,355769,ee,36.9093204555,39,0.984959527117 +/- 0.0200341957776
phi_1,355443,ee,42.012759579,39,0.797039808797 +/- 0.0620518642663
phi_1,355444,ee,15.0351125123,36,0.879396275946 +/- 0.108275004171
phi_1,355445,ee,48.7681886663,39,0.713128301963 +/- 0.0647678343353
phi_1,355558,ee,27.1412620752,39,0.975236074749 +/- 0.0298297491913
phi_1,355559,ee,30.6755251728,39,0.951692086342 +/- 0.038713404591
phi_1,355679,ee,68.8627729833,39,0.693943231185 +/- 0.0555355034064
phi_1,355680,ee,57.7096590264,39,0.992863015208 +/- 0.0110809704856
phi_1,355768,ee,69.9585202667,39,0.713284753005 +/- 0.0540675334009
phi_1,355769,ee,45.9723162962,39,0.981258737751 +/- 0.0200005986228
pt_1,355443,ee,23.9851403118,14,0.903382492621 +/- 0.0667772443182
pt_1,355444,ee,27.6065171454,11,0.691052050787 +/- 0.0936995113868
pt_1,355445,ee,28.9385061478,14,0.852287753807 +/- 0.0717599304151
pt_1,355558,ee,152.669821845,27,0.865193354011 +/- 0.02818458373
pt_1,355559,ee,83.524321394,22,0.877739639135 +/- 0.0373768355589
pt_1,355679,ee,17.7436472081,13,0.946858058863 +/- 0.0657704713374
pt_1,355680,ee,186.260874537,38,0.977466037896 +/- 0.0110017125074
pt_1,355768,ee,18.753002484,13,0.949880714693 +/- 0.0632906513223
pt_1,355769,ee,90.5120953839,30,0.967006632363 +/- 0.0198950326366
pt_2,355443,ee,18.88958836,9,0.916423105818 +/- 0.066817406353
pt_2,355444,ee,15.2166790749,5,0.827464947377 +/- 0.101254795252
pt_2,355445,ee,6.09922435505,6,0.974221122607 +/- 0.0760969126239
pt_2,355558,ee,41.3085054721,15,0.964158096634 +/- 0.029688313733
pt_2,355559,ee,23.0350924124,10,0.969149750457 +/- 0.039176679969
pt_2,355679,ee,16.3711427477,10,0.931360014458 +/- 0.0644807973311
pt_2,355680,ee,108.399976049,23,0.987066940046 +/- 0.0110498414056
pt_2,355768,ee,5.67952137714,6,0.990487652559 +/- 0.0641605952968
pt_2,355769,ee,33.358937023,16,0.987632893195 +/- 0.0200738348851
eta_1,355443,ee,42.4956086682,39,0.794707204501 +/- 0.0619609977255
eta_1,355444,ee,19.6289864838,34,0.834005015009 +/- 0.105603244508
eta_1,355445,ee,40.3551704585,36,0.797610582981 +/- 0.0700508335143
eta_1,355558,ee,100.985701684,39,0.907859761237 +/- 0.0287808825127
eta_1,355559,ee,50.8740450577,39,0.91988339361 +/- 0.0380609414693
eta_1,355679,ee,36.5908497251,39,0.837374001222 +/- 0.061005427854
eta_1,355680,ee,57.6402132854,39,0.99287336631 +/- 0.0110796581052
eta_1,355768,ee,44.2979298782,39,0.818451107057 +/- 0.0579163864187
eta_1,355769,ee,36.9093204555,39,0.984959527117 +/- 0.0200341957776
eta_2,355443,ee,60.8205864061,38,0.721297045688 +/- 0.0596583236279
eta_2,355444,ee,18.6335225307,28,1.00351779238 +/- 0.126065222368
eta_2,355445,ee,41.2744302486,36,0.800135820374 +/- 0.0705230849774
eta_2,355558,ee,149.465002835,39,0.863626822231 +/- 0.0280709935203
eta_2,355559,ee,143.953729843,39,0.773301212846 +/- 0.0348969509497
eta_2,355679,ee,48.9138733653,39,0.782605007265 +/- 0.0589766434848
eta_2,355680,ee,53.2141226595,39,0.99342060798 +/- 0.0110827110702
eta_2,355768,ee,34.6229543496,39,0.858102646108 +/- 0.0593027328493
eta_2,355769,ee,33.3989913113,39,0.986389979091 +/- 0.0200487382825
phi_1,355443,ee,42.012759579,39,0.797039808797 +/- 0.0620518642663
phi_1,355444,ee,15.0351125123,36,0.879396275946 +/- 0.108275004171
phi_1,355445,ee,48.7681886663,39,0.713128301963 +/- 0.0647678343353
phi_1,355558,ee,27.1412620752,39,0.975236074749 +/- 0.0298297491913
phi_1,355559,ee,30.6755251728,39,0.951692086342 +/- 0.038713404591
phi_1,355679,ee,68.8627729833,39,0.693943231185 +/- 0.0555355034064
phi_1,355680,ee,57.7096590264,39,0.992863015208 +/- 0.0110809704856
phi_1,355768,ee,69.9585202667,39,0.713284753005 +/- 0.0540675334009
phi_1,355769,ee,45.9723162962,39,0.981258737751 +/- 0.0200005986228
phi_2,355443,ee,34.0677801439,39,0.835421351962 +/- 0.0635283554159
phi_2,355444,ee,20.7014577101,36,0.806220285853 +/- 0.102974252506
phi_2,355445,ee,32.9960659047,39,0.805905494678 +/- 0.0688521645043
phi_2,355558,ee,31.1814839883,39,0.971549740887 +/- 0.0297733184833
phi_2,355559,ee,49.1120694186,39,0.922658158396 +/- 0.0381183023475
phi_2,355679,ee,37.1313786872,39,0.834971650279 +/- 0.0609178554477
phi_2,355680,ee,56.8093055011,39,0.992974362416 +/- 0.0110815918203
phi_2,355768,ee,37.387035716,39,0.846143885942 +/- 0.0590090976435
phi_2,355769,ee,55.3254794033,39,0.977445789073 +/- 0.0199617019074
m_vis,355443,ee,73.0731604049,29,0.657297837531 +/- 0.0567973918475
m_vis,355444,ee,34.4214038241,28,0.601346627026 +/- 0.0871804421743
